timings.Fajr,timings.Sunrise,timings.Dhuhr,timings.Asr,timings.Sunset,timings.Maghrib,timings.Isha,timings.Imsak,timings.Midnight,timings.Firstthird,timings.Lastthird,date.readable,date.timestamp,date.gregorian.date,date.gregorian.format,date.gregorian.day,date.gregorian.weekday.en,date.gregorian.month.number,date.gregorian.month.en,date.gregorian.year,date.gregorian.designation.abbreviated,date.gregorian.designation.expanded,date.gregorian.lunarSighting,date.hijri.date,date.hijri.format,date.hijri.day,date.hijri.weekday.en,date.hijri.weekday.ar,date.hijri.month.number,date.hijri.month.en,date.hijri.month.ar,date.hijri.month.days,date.hijri.year,date.hijri.designation.abbreviated,date.hijri.designation.expanded,date.hijri.method,meta.latitude,meta.longitude,meta.timezone,meta.method.id,meta.method.name,meta.method.params.Fajr,meta.method.params.Isha,meta.method.location.latitude,meta.method.location.longitude,meta.latitudeAdjustmentMethod,meta.midnightMode,meta.school,meta.offset.Imsak,meta.offset.Fajr,meta.offset.Sunrise,meta.offset.Dhuhr,meta.offset.Asr,meta.offset.Maghrib,meta.offset.Sunset,meta.offset.Isha,meta.offset.Midnight,date.hijri.holidays
"05:53 (+00)","07:27 (+00)","12:31 (+00)","15:06 (+00)","17:24 (+00)","17:29 (+00)","18:48 (+00)","05:43 (+00)","00:26 (+00)","22:05 (+00)","02:46 (+00)","01 Jan 2030",1893488461,01-01-2030,DD-MM-YYYY,01,Tuesday,1,January,2030,AD,"Anno Domini",,26-08-1451,DD-MM-YYYY,26,"Al Thalaata",الثلاثاء,8,Shaʿbān,شَعْبان,29,1451,AH,"Anno Hegirae",HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0,
"05:53 (+00)","07:27 (+00)","12:31 (+00)","15:06 (+00)","17:25 (+00)","17:30 (+00)","18:49 (+00)","05:43 (+00)","00:26 (+00)","22:06 (+00)","02:47 (+00)","02 Jan 2030",1893574861,02-01-2030,DD-MM-YYYY,02,Wednesday,1,January,2030,AD,"Anno Domini",,27-08-1451,DD-MM-YYYY,27,"Al Arba'a",الاربعاء,8,Shaʿbān,شَعْبان,29,1451,AH,"Anno Hegirae",HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0,
"05:54 (+00)","07:28 (+00)","12:32 (+00)","15:07 (+00)","17:26 (+00)","17:31 (+00)","18:50 (+00)","05:44 (+00)","00:27 (+00)","22:06 (+00)","02:47 (+00)","03 Jan 2030",1893661261,03-01-2030,DD-MM-YYYY,03,Thursday,1,January,2030,AD,"Anno Domini",,28-08-1451,DD-MM-YYYY,28,"Al Khamees",الخميس,8,Shaʿbān,شَعْبان,29,1451,AH,"Anno Hegirae",HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0,
"05:54 (+00)","07:28 (+00)","12:32 (+00)","15:08 (+00)","17:27 (+00)","17:32 (+00)","18:50 (+00)","05:44 (+00)","00:27 (+00)","22:07 (+00)","02:47 (+00)","04 Jan 2030",1893747661,04-01-2030,DD-MM-YYYY,04,Friday,1,January,2030,AD,"Anno Domini",,29-08-1451,DD-MM-YYYY,29,"Al Juma'a",الجمعة,8,Shaʿbān,شَعْبان,29,1451,AH,"Anno Hegirae",HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0,
"05:54 (+00)","07:28 (+00)","12:33 (+00)","15:09 (+00)","17:27 (+00)","17:32 (+00)","18:51 (+00)","05:44 (+00)","00:28 (+00)","22:08 (+00)","02:48 (+00)","05 Jan 2030",1893834061,05-01-2030,DD-MM-YYYY,05,Saturday,1,January,2030,AD,"Anno Domini",,01-09-1451,DD-MM-YYYY,1,"Al Sabt",السبت,9,Ramaḍān,رَمَضان,30,1451,AH,"Anno Hegirae",HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0,"1st Day of Ramadan"
"05:54 (+00)","07:28 (+00)","12:33 (+00)","15:09 (+00)","17:28 (+00)","17:33 (+00)","18:52 (+00)","05:44 (+00)","00:28 (+00)","22:08 (+00)","02:48 (+00)","06 Jan 2030",1893920461,06-01-2030,DD-MM-YYYY,06,Sunday,1,January,2030,AD,"Anno Domini",,02-09-1451,DD-MM-YYYY,2,"Al Ahad",الاحد,9,Ramaḍān,رَمَضان,30,1451,AH,"Anno Hegirae",HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0,
"05:54 (+00)","07:28 (+00)","12:33 (+00)","15:10 (+00)","17:29 (+00)","17:34 (+00)","18:53 (+00)","05:44 (+00)","00:29 (+00)","22:09 (+00)","02:48 (+00)","07 Jan 2030",1894006861,07-01-2030,DD-MM-YYYY,07,Monday,1,January,2030,AD,"Anno Domini",,03-09-1451,DD-MM-YYYY,3,"Al Athnayn",الاثنين,9,Ramaḍān,رَمَضان,30,1451,AH,"Anno Hegirae",HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0,
"05:54 (+00)","07:28 (+00)","12:34 (+00)","15:11 (+00)","17:30 (+00)","17:35 (+00)","18:53 (+00)","05:44 (+00)","00:29 (+00)","22:09 (+00)","02:49 (+00)","08 Jan 2030",1894093261,08-01-2030,DD-MM-YYYY,08,Tuesday,1,January,2030,AD,"Anno Domini",,04-09-1451,DD-MM-YYYY,4,"Al Thalaata",الثلاثاء,9,Ramaḍān,رَمَضان,30,1451,AH,"Anno Hegirae",HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0,
"05:54 (+00)","07:28 (+00)","12:34 (+00)","15:12 (+00)","17:31 (+00)","17:36 (+00)","18:54 (+00)","05:44 (+00)","00:29 (+00)","22:10 (+00)","02:49 (+00)","09 Jan 2030",1894179661,09-01-2030,DD-MM-YYYY,09,Wednesday,1,January,2030,AD,"Anno Domini",,05-09-1451,DD-MM-YYYY,5,"Al Arba'a",الاربعاء,9,Ramaḍān,رَمَضان,30,1451,AH,"Anno Hegirae",HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0,
"05:55 (+00)","07:28 (+00)","12:35 (+00)","15:12 (+00)","17:32 (+00)","17:37 (+00)","18:55 (+00)","05:45 (+00)","00:30 (+00)","22:10 (+00)","02:49 (+00)","10 Jan 2030",1894266061,10-01-2030,DD-MM-YYYY,10,Thursday,1,January,2030,AD,"Anno Domini",,06-09-1451,DD-MM-YYYY,6,"Al Khamees",الخميس,9,Ramaḍān,رَمَضان,30,1451,AH,"Anno Hegirae",HJCoSA,8.8888888,7.7777777,Africa/Casablanca,21,Morocco,19,17,33.9715904,-6.8498129,MIDDLE_OF_THE_NIGHT,STANDARD,STANDARD,0,0,0,5,0,5,0,0,0,
